"gulf landen" 19-09-2014 17:28:03 1.279/L 59.64 46.63L 151027km
"euro palace linter" 08-01-2014 17:56 46.67L 1.307/L 61.00 135228km
"shell korbeek lo" 20-08-2014 19:35 1.286/L 40.73L 52.38 148797km
"total heverlee" 15-10-2014 8:26 152659km 7.14 5.11L 1.397/L
"gulf landen" 17-11-2014 10:07:29 40.61L 50.32 1.239/L 153478km
"gulf landen" 26-11-2014 13:24:39 42.49L 51.37 1.209/L 154154km
"q8 quattre bras" 16-11-2014 14:43 10.02L 1.269/L 12.72 153389km
"gulf landen" 5-12-2014 19:20 154857km 50.71 43.57L 1.164/L
"gulf landen" 15-10-2014 18:43:38 53.81 42.74L 1.259/L 152698km
"gulf landen" 18-12-2014 155546km 17:10 50.40 45.86L 1.099/L
"shell gembloux" 24-12-2014 14:20 1.072/L 35.57L 38.13 156137km
"q8 heverlee" 01-10-2014 6:57 5.00L 1.424/L 7.12 151792km
"gulf landen" 02-10-2014 17:15:06 56.02 1.279/L 43.80L 151922km
"shell tervuren" 09-02-2014 20:47 1.302/L 46.68L 60.78 137338km
"q8 heverlee" 06-06-2014 9:22 5.47L 1.421/L 7.77 143448km
"euro palace linter" 28-01-2014 18:00 47.65L 1.299/L 61.90 136627km
"euro palace linter" 02-07-2014 18:15 46.30L 1.328/L 61.49 145059km
"dats 24 heverlee" 17-01-2014 23:47:23 45.09L 57.53 1.276/L 135904km
"total blanden" 151882km 02-10-2014 7:58 5.00L 1.424/L 7.12
"dats 24 heverlee" 29-08-2014 18:55:53 43.75L 56.08 1.281/L 149501km
"dats 24 heverlee" 23-05-2014 17:53:24 46.91L 60.47 1.289/L 142714km
"dats 24 heverlee" 1.302/L 59.18 45.45L 19-02-2014 19:42:32 138109km
"dats 24 heverlee" 22-07-2014 20:21:34 44.84L 57.53 1.283/L 146544km
"q8 ergens" 02-08-2014 9:04 49.99 34.55L 147172km 1.447/L
"texaco heverlee" 07-03-2014 19:34 5.10L 1.452/L 7.41 139488km
"dats 24 heverlee" 07-03-2014 23:01:16 43.31L 56.39 1.302/L 139545km
"maes tienen" 138773km 28-02-2014 18:00 41.02L 1.292/L 53.00
"q8 heverlee" 13-05-2014 7:59 6.33L 1.420/L 8.99 141887km
"q8 heverlee" 9-5-2014 7:48 7.04L 1.420/L 10.00 141721km
"dats 24 heverlee" 08-08-2014 18:11:35 46.99L 60.95 1.297/L 148113km
"dats 24 heverlee" 06-06-2014 20:05:46 45.85L 58.50 1.276/L 143536km
"dats 24 heverlee" 13-05-2014 18:28:47 42.74L 54.07 1.265/L 141976km
"dats 24 heverlee" 20-06-2014 18:02:07 1.315/L 45.28L 59.54 144318km
"dats 24 heverlee" 11-07-2014 17:13:02 44.50L 57.09 1.283/L 145804km
"maes tienen" 19-03-2014 18:21 140241km 44.66L 1.253/L 55.96

"gulf landen" 17-06-2015 18:06:06 1.159/L 54.18 46.75L 167319km
"shell korbeek lo" 10-1-2015 10:55 1.060/L 46.31L 49.09 156801km
"total blanden" 20-01-2015 09:17 5.03L 1.182/L 5.95 157636km
"dats 24 heverlee" 20-01-2015 19:00:02 46.19 46.24L 0.999/L 157723km
"dats 24 heverlee" 29-01-2015 18:30:39 44.99L 47.01 1.045/L 158411km
"gulf landen" 09-02-2015 08:35:05 13.43 12.00L 1.119/L 159068km
"q8 leuven" 18-01-2015 16:42 8.46L 1.182/L 10.00 157334km
"dats 24 heverlee" 10-02-2015 18:56:30 43.35L 47.47 1.095/L 159202km
"total blanden" 26-02-2015 9:04 159886km 7.18L 1.276/L 9.16
"dats 24 heverlee" 26-02-2015 18:17:18 45.47L 51.06 1.123/L 159973km
"gulf landen" 10-03-2015 18:28:20 1.159/L 10.00 8.63L 160663km
"dats 24 heverlee" 10-03-2015 18:54:39 42.30L 48.14 1.138/L 160710km
